"GEO_ID","id"
"NAME","Geographic Area Name"
"S1702_C01_001E","Estimate!!Total!!All families!!Families"
"S1702_C01_001M","Margin of Error!!Total!!All families!!Families"
"S1702_C01_002E","Estimate!!Total!!All families!!Families!!With related children of householder under 18 years"
"S1702_C01_002M","Margin of Error!!Total!!All families!!Families!!With related children of householder under 18 years"
"S1702_C01_003E","Estimate!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_003M","Margin of Error!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_004E","Estimate!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C01_004M","Margin of Error!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C01_005E","Estimate!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years"
"S1702_C01_005M","Margin of Error!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years"
"S1702_C01_006E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C01_006M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C01_007E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C01_007M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C01_008E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
"S1702_C01_008M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
"S1702_C01_009E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C01_009M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C01_010E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C01_010M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C01_011E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C01_011M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C01_012E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C01_012M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C01_013E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C01_013M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C01_014E","Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C01_014M","Margin of Error!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C01_015E","Estimate!!Total!!All families!!Families!!Householder worked"
"S1702_C01_015M","Margin of Error!!Total!!All families!!Families!!Householder worked"
"S1702_C01_016E","Estimate!!Total!!All families!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C01_016M","Margin of Error!!Total!!All families!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C01_017E","Estimate!!Total!!All families!!Families!!Householder 65 years and over"
"S1702_C01_017M","Margin of Error!!Total!!All families!!Families!!Householder 65 years and over"
"S1702_C01_018E","Estimate!!Total!!All families!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C01_018M","Margin of Error!!Total!!All families!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C01_019E","Estimate!!Total!!All families!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C01_019M","Margin of Error!!Total!!All families!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C01_020E","Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C01_020M","Margin of Error!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C01_021E","Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C01_021M","Margin of Error!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C01_022E","Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C01_022M","Margin of Error!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C01_023E","Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C01_023M","Margin of Error!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C01_024E","Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C01_024M","Margin of Error!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C01_025E","Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C01_025M","Margin of Error!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C01_026E","Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C01_026M","Margin of Error!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C01_027E","Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C01_027M","Margin of Error!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C01_028E","Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C01_028M","Margin of Error!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C01_029E","Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C01_029M","Margin of Error!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C01_030E","Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C01_030M","Margin of Error!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C01_031E","Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder"
"S1702_C01_031M","Margin of Error!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder"
"S1702_C01_032E","Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people"
"S1702_C01_032M","Margin of Error!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people"
"S1702_C01_033E","Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people"
"S1702_C01_033M","Margin of Error!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people"
"S1702_C01_034E","Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people"
"S1702_C01_034M","Margin of Error!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people"
"S1702_C01_035E","Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people"
"S1702_C01_035M","Margin of Error!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people"
"S1702_C01_036E","Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers"
"S1702_C01_036M","Margin of Error!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers"
"S1702_C01_037E","Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker"
"S1702_C01_037M","Margin of Error!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker"
"S1702_C01_038E","Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers"
"S1702_C01_038M","Margin of Error!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers"
"S1702_C01_039E","Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers"
"S1702_C01_039M","Margin of Error!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers"
"S1702_C01_040E","Estimate!!Total!!All families!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)"
"S1702_C01_040M","Margin of Error!!Total!!All families!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)"
"S1702_C01_041E","Estimate!!Total!!All families!!Families!!TENURE!!Owner occupied"
"S1702_C01_041M","Margin of Error!!Total!!All families!!Families!!TENURE!!Owner occupied"
"S1702_C01_042E","Estimate!!Total!!All families!!Families!!TENURE!!Renter Occupied"
"S1702_C01_042M","Margin of Error!!Total!!All families!!Families!!TENURE!!Renter Occupied"
"S1702_C01_043E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1702_C01_043M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1702_C01_044E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1702_C01_044M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1702_C01_045E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1702_C01_045M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1702_C01_046E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1702_C01_046M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1702_C01_047E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1702_C01_047M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1702_C01_048E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1702_C01_048M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1702_C01_049E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1702_C01_049M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1702_C01_050E","Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1702_C01_050M","Margin of Error!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1702_C02_001E","Estimate!!Percent below poverty level!!All families!!Families"
"S1702_C02_001M","Margin of Error!!Percent below poverty level!!All families!!Families"
"S1702_C02_002E","Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years"
"S1702_C02_002M","Margin of Error!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years"
"S1702_C02_003E","Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C02_003M","Margin of Error!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C02_004E","Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C02_004M","Margin of Error!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C02_005E","Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years"
"S1702_C02_005M","Margin of Error!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years"
"S1702_C02_006E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C02_006M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone"
"S1702_C02_007E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C02_007M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone"
"S1702_C02_008E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
"S1702_C02_008M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone"
"S1702_C02_009E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C02_009M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone"
"S1702_C02_010E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C02_010M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone"
"S1702_C02_011E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C02_011M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone"
"S1702_C02_012E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C02_012M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races"
"S1702_C02_013E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C02_013M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)"
"S1702_C02_014E","Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C02_014M","Margin of Error!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino"
"S1702_C02_015E","Estimate!!Percent below poverty level!!All families!!Families!!Householder worked"
"S1702_C02_015M","Margin of Error!!Percent below poverty level!!All families!!Families!!Householder worked"
"S1702_C02_016E","Estimate!!Percent below poverty level!!All families!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C02_016M","Margin of Error!!Percent below poverty level!!All families!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months"
"S1702_C02_017E","Estimate!!Percent below poverty level!!All families!!Families!!Householder 65 years and over"
"S1702_C02_017M","Margin of Error!!Percent below poverty level!!All families!!Families!!Householder 65 years and over"
"S1702_C02_018E","Estimate!!Percent below poverty level!!All families!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C02_018M","Margin of Error!!Percent below poverty level!!All families!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
"S1702_C02_019E","Estimate!!Percent below poverty level!!All families!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C02_019M","Margin of Error!!Percent below poverty level!!All families!!Families!!Family received --!!Social security income in the past 12 months"
"S1702_C02_020E","Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C02_020M","Margin of Error!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate"
"S1702_C02_021E","Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C02_021M","Margin of Error!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)"
"S1702_C02_022E","Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C02_022M","Margin of Error!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree"
"S1702_C02_023E","Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C02_023M","Margin of Error!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher"
"S1702_C02_024E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C02_024M","Margin of Error!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child"
"S1702_C02_025E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C02_025M","Margin of Error!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children"
"S1702_C02_026E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C02_026M","Margin of Error!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children"
"S1702_C02_027E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C02_027M","Margin of Error!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children"
"S1702_C02_028E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C02_028M","Margin of Error!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder"
"S1702_C02_029E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C02_029M","Margin of Error!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder"
"S1702_C02_030E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C02_030M","Margin of Error!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder"
"S1702_C02_031E","Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder"
